league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
FRA-Ligue 1,2223,Toulouse,675,0,580,418,37563,417.4,50,33,83,46,4,4,62,3,54.1,51.0,36.2,87.1,648,1737,1723,4.74,1.43,6.19,4.61,6.0600000000000005,3.6,3.61,7.2,3.5,7.1000000000000005
FRA-Ligue 1,2223,Troyes,750,0,559,418,37472,416.40000000000003,43,26,69,38,5,5,55,5,40.1,36.2,28.1,64.3,638,1235,1224,4.96,1.85,6.83,4.62,6.49,3.89,2.17,6.07,3.63,5.81
FRA-Ligue 1,2324,Brest,625,0,529,374,33618,373.6,51,33,84,47,4,4,84,5,49.3,46.2,35.0,80.9,590,1402,1385,3.56,3.32,6.91,3.41,6.75,3.69,4.03,7.72,3.56,7.6
FRA-Ligue 1,2324,Clermont Foot,762,0,530,374,33488,372.2,26,18,44,20,6,8,60,7,36.2,30.0,22.9,52.9,537,1247,1238,2.02,1.46,3.46,1.73,3.18,3.0100000000000002,2.62,5.59,2.7,5.29
FRA-Ligue 1,2324,Le Havre,678,0,537,374,33451,371.7,33,23,56,27,6,7,67,6,37.8,32.4,25.5,58.0,457,1199,1189,6.109999999999999,1.73,7.83,5.789999999999999,7.51,3.11,1.9200000000000002,5.04,2.74,4.66
FRA-Ligue 1,2324,Lens,693,0,537,374,33558,373.0,45,29,74,39,6,7,78,4,54.9,49.3,37.4,86.6,609,1624,1611,4.82,3.55,8.37,4.59,8.13,5.5200000000000005,3.77,9.29,5.3100000000000005,9.07
FRA-Ligue 1,2324,Lille,656,0,504,374,33601,373.6,50,32,82,48,2,3,67,3,50.8,48.3,34.9,83.2,650,1468,1453,2.46,5.32,7.73,2.39,7.66,3.46,3.6199999999999997,7.09,3.37,7.01
FRA-Ligue 1,2324,Lorient,879,0,522,374,33658,373.8,41,27,68,40,1,1,66,1,37.7,36.9,27.400000000000002,64.6,632,1293,1283,3.7800000000000002,2.66,6.43,3.7,6.3500000000000005,3.94,2.75,6.68,3.88,6.62
FRA-Ligue 1,2324,Lyon,850,0,516,374,33568,372.9,48,32,80,44,4,4,57,6,51.4,48.2,36.8,85.1,683,1600,1577,3.87,2.35,6.22,3.68,6.03,4.76,3.07,7.82,4.61,7.67
FRA-Ligue 1,2324,Marseille,811,0,511,374,33506,372.5,50,32,82,46,4,4,61,5,55.699999999999996,52.5,40.5,93.1,635,1613,1609,3.9,2.62,6.52,3.77,6.38,6.199999999999999,2.93,9.18,6.09,9.07
FRA-Ligue 1,2324,Metz,731,0,512,374,33608,373.5,35,25,60,31,4,6,54,3,35.3,30.599999999999998,23.3,53.6,458,910,899,3.65,1.6,5.24,3.41,4.98,3.56,1.85,5.39,3.25,5.08
FRA-Ligue 1,2324,Monaco,683,0,499,374,33480,371.9,66,45,111,64,2,5,79,8,56.4,52.3,38.1,90.5,614,1726,1713,4.89,4.01,8.92,4.76,8.790000000000001,3.95,3.15,7.11,3.71,6.88
FRA-Ligue 1,2324,Montpellier,750,0,514,374,33610,373.5,41,26,67,34,7,7,68,4,46.6,41.1,31.4,72.2,553,1174,1155,3.54,1.49,5.06,3.32,4.83,3.6,6.68,10.280000000000001,3.43,10.1
FRA-Ligue 1,2324,Nantes,860,0,528,374,33546,372.6,30,17,47,26,4,5,67,3,38.0,34.2,25.900000000000002,59.6,569,1243,1229,1.85,1.1099999999999999,2.98,1.66,2.79,3.39,2.79,6.19,3.16,5.95
FRA-Ligue 1,2324,Nice,636,0,534,374,33581,373.1,39,23,62,33,6,7,62,4,51.199999999999996,45.6,35.1,80.9,661,1245,1226,2.29,1.47,3.77,1.98,3.46,3.68,3.41,7.1,3.41,6.82
FRA-Ligue 1,2324,Paris S-G,686,0,515,374,33527,372.6,78,61,139,71,7,9,51,3,70.0,62.8,52.1,114.5,845,1915,1901,4.75,4.22,8.94,4.43,8.629999999999999,4.4399999999999995,3.75,8.22,4.12,7.9
FRA-Ligue 1,2324,Reims,666,0,529,374,33575,373.0,40,28,68,37,3,4,70,3,45.3,42.1,33.6,75.7,625,1425,1410,2.25,1.74,3.97,2.11,3.85,4.25,2.5300000000000002,6.75,4.109999999999999,6.61
FRA-Ligue 1,2324,Rennes,671,0,534,374,33493,372.2,53,29,82,43,10,11,65,4,54.5,45.7,32.300000000000004,78.0,606,1639,1625,3.9699999999999998,1.81,5.8100000000000005,3.57,5.41,4.78,3.7199999999999998,8.52,4.41,8.14
FRA-Ligue 1,2324,Strasbourg,683,0,515,374,33644,374.1,36,24,60,33,3,4,59,2,42.7,39.699999999999996,32.1,71.5,548,1152,1142,3.27,3.24,6.5200000000000005,3.09,6.35,3.5300000000000002,2.67,6.21,3.3600000000000003,6.04
FRA-Ligue 1,2324,Toulouse,591,0,528,374,33652,373.8,42,30,72,36,6,9,77,1,41.0,33.8,26.5,60.300000000000004,549,1405,1395,2.8,4.41,7.22,2.4899999999999998,6.91,3.14,3.04,6.21,2.77,5.84
FRA-Ligue 1,2425,Angers,750,0,531,374,33514,372.1,31,17,48,26,5,6,49,2,36.4,31.6,23.7,55.5,502,953,943,2.1,0.87,2.9699999999999998,1.74,2.62,3.36,1.52,4.86,3.04,4.5600000000000005
FRA-Ligue 1,2425,Auxerre,690,0,529,374,33472,371.7,47,35,82,43,4,5,68,4,41.9,37.9,32.2,70.1,484,1084,1078,4.43,1.48,5.91,4.29,5.77,2.96,3.05,6.04,2.8200000000000003,5.9
FRA-Ligue 1,2425,Brest,764,0,521,374,33595,373.40000000000003,52,32,84,45,7,9,69,3,46.8,39.6,29.7,69.1,470,1096,1084,3.87,2.17,6.03,3.45,5.62,3.29,1.9500000000000002,5.25,2.88,4.84
FRA-Ligue 1,2425,Le Havre,785,0,521,374,33509,372.40000000000003,37,21,58,28,9,10,56,4,42.8,34.9,24.3,59.6,538,1051,1033,2.17,1.47,3.63,1.75,3.22,3.79,2.65,6.42,3.42,6.0600000000000005
FRA-Ligue 1,2425,Lens,810,0,532,374,33508,372.1,40,26,66,35,5,5,86,8,53.6,49.6,36.5,86.2,570,1451,1440,3.2800000000000002,1.53,4.8,2.98,4.5,4.55,2.73,7.29,4.31,7.06
FRA-Ligue 1,2425,Lille,662,0,530,374,33636,373.8,52,29,81,45,7,10,77,2,56.6,48.699999999999996,35.3,84.0,669,1616,1603,3.81,2.11,5.93,3.46,5.58,5.74,3.15,8.89,5.23,8.370000000000001
FRA-Ligue 1,2425,Lyon,784,0,517,374,33660,374.2,62,46,108,54,8,10,60,0,61.300000000000004,53.4,44.6,98.0,709,1615,1600,4.2,2.67,6.89,3.8,6.4799999999999995,4.42,2.61,7.02,4.02,6.62
FRA-Ligue 1,2425,Marseille,759,0,521,374,33396,371.4,70,49,119,62,8,10,64,6,65.5,57.5,44.9,102.4,664,1714,1703,4.49,3.83,8.33,4.11,7.95,5.34,3.59,8.9,4.98,8.55
FRA-Ligue 1,2425,Monaco,646,0,527,374,33544,372.6,63,49,112,57,6,7,60,4,75.0,69.60000000000001,55.7,125.1,670,1638,1629,4.2299999999999995,2.77,7.0,3.94,6.71,5.95,4.34,10.23,5.65,9.94
FRA-Ligue 1,2425,Montpellier,844,0,525,374,33578,373.1,23,13,36,20,3,4,87,7,33.9,30.8,23.2,53.9,529,1039,1030,1.79,0.93,2.7199999999999998,1.6300000000000001,2.56,3.17,1.6600000000000001,4.82,2.98,4.63
FRA-Ligue 1,2425,Nantes,773,0,529,374,33525,372.8,39,27,66,34,5,5,71,4,40.0,36.1,28.6,64.8,502,1053,1044,3.29,1.85,5.13,3.12,4.96,4.95,3.08,8.02,4.8100000000000005,7.88
FRA-Ligue 1,2425,Nice,745,0,532,374,33627,373.5,62,43,105,56,6,6,59,5,64.4,59.699999999999996,43.6,103.2,701,1320,1312,6.65,2.71,9.35,6.31,9.02,9.64,5.670000000000001,15.32,9.379999999999999,15.05
FRA-Ligue 1,2425,Paris S-G,640,0,518,374,33660,374.0,89,69,158,83,6,7,37,0,90.60000000000001,85.1,71.5,156.3,936,2123,2114,5.76,5.41,11.23,5.21,10.68,7.14,4.82,11.99,6.64,11.48
FRA-Ligue 1,2425,Reims,753,0,522,374,33490,371.9,32,19,51,31,1,2,66,6,37.8,36.2,26.4,63.1,586,1156,1140,1.79,1.25,3.04,1.67,2.92,3.92,2.13,6.02,3.7800000000000002,5.89
FRA-Ligue 1,2425,Rennes,850,0,522,374,33597,373.2,51,32,83,46,5,8,67,2,49.7,43.6,29.8,73.5,663,1440,1421,6.6899999999999995,2.52,9.23,6.52,9.05,4.46,3.05,7.51,4.25,7.3
FRA-Ligue 1,2425,Saint-Étienne,776,0,516,374,33517,372.4,39,28,67,36,3,4,65,3,37.2,34.1,24.700000000000003,58.7,529,1262,1254,2.4,1.5,3.91,2.23,3.74,3.11,1.9300000000000002,5.05,2.9,4.83
FRA-Ligue 1,2425,Strasbourg,633,0,505,374,33657,374.1,54,43,97,52,2,2,71,3,50.2,48.7,38.9,87.5,563,1204,1191,3.94,2.3,6.23,3.87,6.16,3.98,2.32,6.29,3.92,6.2299999999999995
FRA-Ligue 1,2425,Toulouse,652,0,514,374,33479,372.1,42,34,76,39,3,4,54,3,49.5,46.4,34.9,81.3,543,1219,1201,3.01,2.18,5.2,2.88,5.08,3.32,2.72,6.06,3.19,5.93
GER-Bundesliga,1920,Augsburg,717,0,485,374,33556,372.9,45,29,74,42,3,5,68,2,43.5,39.6,29.7,69.4,411,815,808,2.93,2.73,5.67,2.77,5.51,3.0700000000000003,2.5300000000000002,5.57,2.82,5.3100000000000005
